행정구역별(도/특별시/광역시),행정구역별(시/구),총사고발생건수,총자동차수,사망자수,부상자수,주민등록인구수(등록외국인포함),총사고유형별,차대사람,차대차,차량단독,차량기타,총사고자동차종류별,승용차,승합차,화물,특수,이륜차,자동차기타
서울특별시,종로구,903,63479,5,1224,158996,903,223,648,32,,903,564,78,71,2,136,52
서울특별시,중구,955,65554,6,1248,134635,955,239,678,38,,955,568,86,102,1,153,45
서울특별시,용산구,890,95764,12,1178,244645,890,155,697,38,,890,627,49,60,3,99,52
서울특별시,성동구,1119,126164,9,1481,300505,1119,244,845,30,,1119,659,45,98,2,163,152
서울특별시,광진구,869,117522,4,1145,360109,869,190,649,30,,869,557,31,58,,157,66
서울특별시,동대문구,1448,122025,10,1845,357014,1448,331,1067,50,,1448,769,78,160,2,301,138
서울특별시,중랑구,1447,138769,4,1952,399562,1447,358,1032,57,,1447,811,83,146,4,244,159
서울특별시,성북구,1275,146796,7,1622,447056,1275,340,898,37,,1275,805,73,132,1,193,71
서울특별시,강북구,1087,97981,3,1420,311569,1087,272,776,39,,1087,621,91,100,,214,61
서울특별시,도봉구,741,110836,7,990,327361,741,224,490,27,,741,414,57,67,1,130,72
서울특별시,노원구,1462,167868,5,2016,527032,1462,286,1142,34,,1462,896,81,123,4,191,167
서울특별시,은평구,953,153475,14,1415,484043,953,275,644,34,,953,595,62,64,2,153,77
서울특별시,서대문구,928,104628,6,1256,322952,928,207,686,35,,928,553,71,69,,157,78
서울특별시,마포구,1272,136985,13,1754,381858,1272,265,974,33,,1272,814,68,83,5,187,115
서울특별시,양천구,1344,172449,7,1829,457781,1344,281,1027,36,,1344,902,70,120,3,139,110
서울특별시,강서구,1575,224224,17,2131,585901,1575,346,1179,50,,1575,963,100,156,3,236,117
서울특별시,구로구,1325,161165,10,1810,432488,1325,296,973,56,,1325,830,109,112,5,190,79
서울특별시,금천구,810,100302,6,1084,247835,810,197,563,50,,810,471,75,84,5,112,63
서울특별시,영등포구,2208,163209,7,3102,407367,2208,371,1786,51,,2208,1321,117,186,6,302,276
서울특별시,동작구,1307,120922,10,1819,401572,1307,308,936,63,,1307,742,105,113,5,248,94
서울특별시,관악구,1444,144535,13,1819,509803,1444,329,1087,28,,1444,913,94,128,2,243,64
서울특별시,서초구,2250,193571,9,3075,429025,2250,393,1813,44,,2250,1581,142,174,3,213,137
서울특별시,강남구,3752,254446,17,5189,544055,3752,721,2964,67,,3752,2764,129,197,4,428,230
서울특별시,송파구,2595,266646,11,3509,673926,2595,478,2064,53,,2595,1591,107,225,5,362,305
